country;oil;gas;coal;nuclear;hydroelectricity;renewables
Canada;4,17;4,29;0,48;0,83;3,59;0,58
Mexico;2,56;3,18;0,23;0,11;0,33;0,39
US;35,33;29,76;10,57;7,4;2,43;7,48
Argentina;1,23;1,65;0,07;0,1;0,18;0,2
Brazil;4,46;1,46;0,71;0,13;3,42;2,39
Bulgaria;0,2;0,12;0,22;0,15;0,04;0,06
Czech Republic;0,41;0,33;0,54;0,28;0,02;0,1
Finland;0,35;0,07;0,12;0,22;0,15;0,25
France;2,91;1,55;0,23;3,43;0,55;0,74
Germany;4,18;3,26;2,12;0,62;0,18;2,28
Romania;0,46;0,41;0,17;0,1;0,16;0,1
Slovakia;0,18;0,19;0,12;0,14;0,04;0,04
Slovenia;0,1;0,03;0,03;0,05;0,04;0,01
Spain;2,45;1,22;0,16;0,51;0,28;0,97
Sweden;0,54;0,05;0,06;0,48;0,67;0,49
Ukraine;0,46;0,94;0,95;0,78;0,1;0,11
United Kingdom;2,5;2,77;0,21;0,41;0,05;1,24
Russian Federation;6,71;17,09;3,41;2,01;2,02;0,06
Iran;3,25;8,68;0,07;0,03;0,14;0,02
South Africa;1,04;0,14;3,53;0,09;0,01;0,16
China;30,6;13,63;86,17;3,68;12,25;11,32
India;9,41;2,24;20,09;0,4;1,51;1,79
Japan;6,61;3,73;4,8;0,55;0,73;1,32
Pakistan;1,02;1,61;0,67;0,14;0,36;0,05
South Korea;5,39;2,25;3,04;1,43;0,03;0,44
Taiwan;1,92;0,98;1,67;0,25;0,03;0,12
